,Year ,Jet Fuel_avi_BTU,Gasoline_avi_BTU,LDV_SWB_road_BTU,LDV_LWB_road_BTU,Combination_Truck_road_BTU,Bus_Road_BTU,Passenger_Car_EFF,Passenger_Car_Age,Demand_petroleum_transportation)mil_lit,Average_MC/15000_miles(dollars),CO2_emission_million_metric_tons,CO_emission_million_shots_tons,NOx_emission_million_shots_tons,SOx_emission_million_shots_tons,Volatile_compound_million_shots_tons,overall_emission
17,0.6571428571428571,0.7032112934076887,0.34697343009631826,0.5875153075883621,0.8328731669131896,0.8159959096525573,0.10716191077423061,0.2732214018521037,0.2500000000000013,0.8509103531385778,0.6868591290914358,0.8139909848445088,0.32855072536947894,0.8313890126414414,0.44633125378247523,0.43018166056380786,0.8076870048793836
18,0.6761904761904762,0.7206956006357931,0.3307529679296458,0.5871504062878088,0.9457844885507354,0.706318591862287,0.08886734306082532,0.40000231116829627,0.3214285714285722,0.8731758993077681,0.7208458047697209,0.8400174355206457,0.31248906064056575,0.7607202154936247,0.43866479740467546,0.4055539646353468,0.8340443696470655
19,0.6952380952380952,0.8504135348473827,0.3327214852006024,0.5862025346807728,1.0,0.721776037530222,0.3226348674583382,0.4249611275233304,0.392857142857143,0.9156861977921746,0.8254320749251713,0.9202193726711333,0.29639188696773633,0.6894435675573011,0.43057485861778033,0.37971258530120905,0.9323723517812523
20,0.7142857142857143,0.8375090923785662,0.41586866291746466,0.6315837171890647,0.9072710482540984,0.8657681334209122,0.1791562020552538,0.5821138618594724,0.4642857142857139,0.8959764095873252,0.8221878922467896,0.9504939092303295,0.2397762568150761,0.6366992634945706,0.4296959315602184,0.2651348778430748,0.949740025658098
21,0.7333333333333333,0.8018400280179961,0.37227000317167286,0.5777234646203787,0.9443001731353046,0.8829709690691697,0.19609979591286097,0.6960802439636746,0.5357142857142848,0.8925766598978762,0.7332045959254611,0.995579891421607,0.22194633361812147,0.5757768441226706,0.3810130981238015,0.27481291817364284,1.0
22,0.7523809523809524,0.7990651687814866,0.33552713785824106,0.9696726260262346,0.4075456305928464,1.0,0.7187506968113142,0.6069615034176866,0.607142857142857,0.8944685477322313,0.7315052621415468,1.0,0.20411641042116685,0.5148544247507709,0.3323302646873844,0.28449095850421136,0.9961612009876734
23,0.7714285714285715,0.7277539804412834,0.23942742554405735,0.8234421676547631,0.4190888833401261,0.9840085609181228,0.7389531885804955,0.8424630136699447,0.6785714285714278,0.8304988240154048,0.7775417591966786,0.809325962598184,0.1812548265397033,0.4505766714277031,0.2852717996245794,0.2655155698671393,0.7303795632670224
24,0.7904761904761904,0.5496780624478029,0.16194280632183541,0.8248275165774718,0.4350987664733217,0.8806427184102926,0.6972116921805762,0.9664719783139512,0.7499999999999988,0.8424437793448034,0.7736796369605098,0.716057589699631,0.13582045346106886,0.389120013116289,0.24304625715868589,0.2547361168582825,0.5872558945352367
25,0.8095238095238095,0.5374605996928797,0.136878998474866,0.8491853006242948,0.4461175466284749,0.9578997440608703,0.6578143480857119,0.9815639542795424,0.9642857142857126,0.8582772537095247,0.8340832287341894,0.7388054044282721,0.1425246334534699,0.33913743454927747,0.19662665405491844,0.2704711470171707,0.6148063064707104
26,0.8285714285714286,0.5066946846628412,0.11894573116530129,0.8847405029331006,0.4274342594718696,0.8860377162134692,0.6667871700054465,1.0,1.0,0.8159867973810595,0.8787293617843005,0.6888342692534213,0.14246226397546188,0.3214435516243314,0.1537529257901,0.2912463074013844,0.5456684647577258
27,0.8476190476190476,0.42718015032732576,0.08322952607534195,0.8916780988346467,0.4229431601402515,0.8775693615809291,0.7426043245301744,1.0,1.0,0.8066749105961197,0.9049917929902481,0.6347666614185165,0.12927550534803237,0.28686333330398733,0.10587895016147005,0.27288461932840613,0.4638924360436174
28,0.8666666666666667,0.41614806433362966,0.048745768934169015,0.8913922813079002,0.4238472907111058,0.9113123717472592,0.7746224891208674,1.0,1.0,0.815915828878011,0.9321811335328763,0.6634652951501263,0.11608874672060296,0.2522831149836431,0.09883663865783857,0.2545229312554281,0.4945372687095142
29,0.8857142857142857,0.43453487432312293,0.09482751538146005,0.9068097688953454,0.46838225852200643,0.9245953798549663,0.8442895774203446,0.20775284401784047,1.0,0.8963385025500518,0.8941778507289756,0.6899757418843191,0.0883262489698438,0.21720670858709096,0.09203080052028886,0.20850249389804007,0.516604318431788
30,0.9047619047619048,0.49496214876478345,0.04266857390987233,0.9231112915780546,0.44991710709104316,0.9150552460734515,0.8412120018243014,0.20775284401784047,1.0,0.9181911931820695,0.8666795404074539,0.7239895853378349,0.07502035059747933,0.16818407850474498,0.06707941952508241,0.172525325717431,0.5524117440395153
31,0.9238095238095239,0.552358630351033,0.08342350725261721,0.9565074309187376,0.4780825392367236,0.9425847173595249,0.8398540846810255,0.20775284401784047,1.0,0.9762084869422112,0.8450516558849087,0.7711223460396877,0.04466846778993694,0.09373767270343579,0.041733530591299826,0.11583719989104177,0.5990225091988302
32,0.9428571428571428,0.5756755300519949,0.08311975309071734,0.9614219689069596,0.47090560165507706,0.9758854671872865,0.9142610496805564,0.20775284401784047,0.4999999999999987,0.9717263778915051,0.8311480158347012,0.7958571686813729,0.09535385031232471,0.0685883744863331,0.019000779733020473,0.22816493556397147,0.6484145539122342
33,0.9619047619047619,0.6440771572510036,0.1790372493217832,0.9585091889573103,0.4652497918471127,0.9743005173192444,1.0,0.20775284401784047,0.4999999999999987,0.9826286380090554,0.8900067587139133,0.8417318311961699,0.06690632942436714,0.03472470837373328,0.015545662444226494,0.1793417377095891,0.6969538467514745
34,0.9809523809523809,0.6893100568442038,0.059615127669746706,1.0,0.48238437371026266,0.9192172281084029,0.9741870575098829,0.20775284401784047,0.4999999999999987,1.0,0.9568987158443565,0.8506143251170629,0.0,0.0,0.0,0.0,0.6790373527981167
35,1.0,0.022387456558635752,0.0,0.5800558631558453,0.4613509569100968,0.8959466320566788,0.7371434092867223,0.20775284401784047,0.4999999999999987,0.6931333489253743,1.0,0.42521969339141263,0.3205198930050223,0.7295447510189064,0.44249802559357543,0.2950091581367651,0.2801540010288898
